基金碼,年月日,基金統編,公會基金類型,幣別,淨值(元),淨值變動率%-週
T0105Y 兆豐國際萬全,2019/04/26,00971976,平衡--一般股票型,TWD,21.36,-0.41958
T0121A 兆豐大中華平衡,2019/04/26,42334401A,跨國平衡-亞洲,TWD,9.91,-3.033269
T0121B 兆豐大中華平衡 $,2019/04/26,42334401B,跨國平衡-亞洲,USD,10.64,-3.184713
T0121C 兆豐大中華平衡 C,2019/04/26,42334401C,跨國平衡-亞洲,CNY,11.1,-2.802101
T0320Y 第一金中概平衡,2019/04/26,99353151,平衡--一般股票型,TWD,26.51,-1.192694
T0343A 第一金全球多息 A,2019/04/26,38539992A,跨國平衡-全球型,TWD,10.3076,0.277261
T0343B 第一金全球多息 B,2019/04/26,38539992B,跨國平衡-全球型,TWD,8.4911,0.276344
T0405Y 匯豐安富,2019/04/26,00971080,平衡--一般股票型,TWD,25.9,0.115964
T0458A 匯豐中多息平Aa,2019/04/26,38647535A,跨國平衡-中國,TWD,11.0024,-2.099944
T0458B 匯豐中多息平Bd,2019/04/26,38647535B,跨國平衡-中國,TWD,9.7457,-2.100493
T0458C 匯豐中多息平AaC,2019/04/26,38647535C,跨國平衡-中國,CNY,12.0698,-1.75093
T0458D 匯豐中多息平BdC,2019/04/26,38647535D,跨國平衡-中國,CNY,10.7254,-1.668593
T0458E 匯豐中多息平Aa$,2019/04/26,38647535E,跨國平衡-中國,USD,11.204,-2.305465
T0458F 匯豐中多息平Bd$,2019/04/26,38647535F,跨國平衡-中國,USD,9.9527,-2.351753
T0479A 匯亞exJP多息平 A,2019/04/26,42443317A,跨國平衡-亞洲,TWD,10.81,0.185357
T0479B 匯亞exJP多息Bd,2019/04/26,42443317B,跨國平衡-亞洲,TWD,10.25,0.195504
T0479C 匯亞exJP多息BdC,2019/04/26,42443317C,跨國平衡-亞洲,CNY,11.25,-0.08881
T0479D 匯亞exJP多息平A$,2019/04/26,42443317D,跨國平衡-亞洲,USD,11.54,0.086731
T0479E 匯亞exJP多息Bd$,2019/04/26,42443317E,跨國平衡-亞洲,USD,10.93,0.091575
T0479F 匯亞exJP多息BdA,2019/04/26,42443317F,跨國平衡-亞洲,AUD,10.81,-0.460404
T0591A 元大中平衡 CNY,2019/04/26,31830473B,跨國平衡-中國,CNY,3.1,-1.898733
T0591Y 元大中平衡 NTD,2019/04/26,31830473A,跨國平衡-中國,TWD,14.18,-2.004147
T05A2A 元大新東協平衡,2019/04/26,42403764A,跨國平衡-亞洲,TWD,9.25,-0.215751
T05A2B 元大新東協平衡 $,2019/04/26,42403764B,跨國平衡-亞洲,USD,9.474,-0.336629
T05A3A 元大大中華豐平,2019/04/26,42451239A,跨國平衡-亞洲,TWD,10.751,-3.931731
T05A3B 元大大中華豐平 C,2019/04/26,42451239B,跨國平衡-亞洲,CNY,10.928,-3.590648
T0717Y 瀚亞理財通,2019/04/26,18036769,平衡--一般股票型,TWD,26.87,-0.111524
T0747A 瀚亞亞太豐平衡 A,2019/04/26,38621330A,跨國平衡-亞洲,TWD,11.1448,-0.562995
T0747B 瀚亞亞太豐平衡 B,2019/04/26,38621330B,跨國平衡-亞洲,TWD,8.9709,-0.563087
T0747C 瀚亞亞太豐平衡A$,2019/04/26,38621330C,跨國平衡-亞洲,USD,11.3968,-0.68754
T0747D 瀚亞亞太豐平衡B$,2019/04/26,38621330D,跨國平衡-亞洲,USD,9.1849,-0.687679
T0747E 瀚亞亞太豐平衡AA,2019/04/26,38621330E,跨國平衡-亞洲,AUD,12.7073,0.602476
T0747F 瀚亞亞太豐平衡BA,2019/04/26,38621330F,跨國平衡-亞洲,AUD,9.5054,0.636295
T0747G 瀚亞亞太豐平衡AZ,2019/04/26,38621330G,跨國平衡-亞洲,ZAR,14.4778,0.298587
T0747H 瀚亞亞太豐平衡BZ,2019/04/26,38621330H,跨國平衡-亞洲,ZAR,10.128,0.033581
T0747J 瀚亞亞太豐平衡AC,2019/04/26,38621330I,跨國平衡-亞洲,CNY,12.2795,-0.411994
T0747K 瀚亞亞太豐平衡BC,2019/04/26,38621330J,跨國平衡-亞洲,CNY,9.0898,-0.421765
T0754A 瀚亞印策收平衡A,2019/04/26,42481830A,跨國平衡-單一國,TWD,9.69,-1.021451
T0754B 瀚亞印策收平衡B,2019/04/26,42481830B,跨國平衡-單一國,TWD,8.72,-1.021567
T0754C 瀚亞印策收平衡B$,2019/04/26,42481830C,跨國平衡-單一國,USD,8.54,-1.157406
T0754D 瀚亞印策收平衡BC,2019/04/26,42481830D,跨國平衡-單一國,CNY,8.66,-0.688073
T0754E 瀚亞印策收平衡S,2019/04/26,42481830E,跨國平衡-單一國,TWD,8.73,-1.020407
T0754F 瀚亞印策收平衡S$,2019/04/26,42481830F,跨國平衡-單一國,USD,8.58,-1.152074
T0754G 瀚亞印策收平衡SC,2019/04/26,42481830G,跨國平衡-單一國,CNY,8.61,-0.692042
T0814Y 保德信金平衡,2019/04/26,18044064,平衡--價值股票型,TWD,30.38,0.098847
T0890A 保德信中國好平A,2019/04/26,42330171A,跨國平衡-中國,TWD,11,-1.689159
T0890B 保德信中國好平B,2019/04/26,42330171B,跨國平衡-中國,TWD,9.9883,-1.688993
T0890C 保德信中國好平B$,2019/04/26,42330171C,跨國平衡-中國,USD,9.9284,-1.641553
T0890D 保德信中國好平BC,2019/04/26,42330171D,跨國平衡-中國,CNY,9.8765,-1.689196
T1114Y 摩根平衡,2019/04/26,18036846,平衡--價值股票型,TWD,28.09,0.35727
T1117Y 摩根全球平衡,2019/04/26,99181637,跨國平衡-全球型,TWD,15.7748,-0.35563
T1120A 摩根亞高息平衡 A,2019/04/26,21704027A,跨國平衡-亞洲,TWD,14.2946,-0.546159
T1120B 摩根亞高息平衡 B,2019/04/26,21704027B,跨國平衡-亞洲,TWD,10.8431,-0.546653
T1148A 摩根新興雙利A,2019/04/26,42299565A,跨國平衡-新興市,TWD,10.3069,-1.024621
T1148B 摩根新興雙利B,2019/04/26,42299565B,跨國平衡-新興市,TWD,8.7454,-1.024231
T1148C 摩根新興雙利B$,2019/04/26,42299565C,跨國平衡-新興市,USD,8.937,-1.186384
T1148D 摩根新興雙利BC,2019/04/26,42299565D,跨國平衡-新興市,CNY,9.4454,-1.104607
T1150A 摩根中國雙息平A,2019/04/26,42319892A,跨國平衡-中國,TWD,13.4647,-2.770015
T1150B 摩根中國雙息平B,2019/04/26,42319892B,跨國平衡-中國,TWD,11.6769,-2.769474
T1150C 摩根中國雙息平AC,2019/04/26,42319892C,跨國平衡-中國,CNY,15.3469,-2.591525
T1150D 摩根中國雙息平BC,2019/04/26,42319892D,跨國平衡-中國,CNY,12.7853,-2.591901
T1150E 摩根中國雙息平B$,2019/04/26,42319892E,跨國平衡-中國,USD,9.9326,-2.90144
T1207Y 華南永昌龍盈平衡,2019/04/26,18477625,平衡--價值股票型,TWD,24.8238,-1.097246
T1239A 華南多重息平衡 A,2019/04/26,38618790A,跨國平衡-全球型,TWD,13.2,0.456621
T1239B 華南多重息平衡 B,2019/04/26,38618790B,跨國平衡-全球型,TWD,10.65,0.566573
T1239C 華南多重息平衡A$,2019/04/26,38618790C,跨國平衡-全球型,USD,13.28,0.302115
T1239D 華南多重息平衡B$,2019/04/26,38618790D,跨國平衡-全球型,USD,10.65,0.282486
T1433A 新光美豐收平衡A,2019/04/26,42384458A,跨國平衡-全球型,TWD,10.47,0.867051
T1433B 新光美豐收平衡B,2019/04/26,42384458B,跨國平衡-全球型,TWD,9.56,0.95037
T1433C 新光美豐收平衡A$,2019/04/26,42384458C,跨國平衡-全球型,USD,11.03,0.638686
T1433D 新光美豐收平衡B$,2019/04/26,42384458D,跨國平衡-全球型,USD,10.09,0.598206
T1437A 新光全平衡A,2019/04/26,42549326A,跨國平衡-全球型,TWD,9.66,0.520292
T1437B 新光全平衡B,2019/04/26,42549326B,跨國平衡-全球型,TWD,9.45,-0.105708
T1437C 新光全平衡A$,2019/04/26,42549326C,跨國平衡-全球型,USD,10.45,1.554908
T1437D 新光全平衡AC,2019/04/26,42549326D,跨國平衡-全球型,CNY,8.88,2.068966
T1604Y 群益亞太新趨勢平,2019/04/26,48787295,跨國平衡-亞洲,TWD,16.74,-0.711744
T1616Y 群益真善美,2019/04/26,17147605,平衡--一般股票型,TWD,15.7957,-0.763325
T1617Y 群益平衡王,2019/04/26,18037845,平衡--價值股票型,TWD,19.8771,-0.987777
T1618Y 群益安家,2019/04/26,29243337,平衡--一般股票型,TWD,25.1334,-2.456688
T1656A 群益中國金采A,2019/04/26,42301416A,跨國平衡-中國,TWD,9.0812,-0.811534
T1656B 群益中國金采B,2019/04/26,42301416B,跨國平衡-中國,TWD,7.7898,-0.812366
T1656C 群益中國金采A$,2019/04/26,42301416C,跨國平衡-中國,USD,9.6616,-1.024423
T1656D 群益中國金采B$,2019/04/26,42301416D,跨國平衡-中國,USD,8.2868,-1.024771
T1656E 群益中國金采AC,2019/04/26,42301416E,跨國平衡-中國,CNY,10.2002,-0.357533
T1656F 群益中國金采BC,2019/04/26,42301416F,跨國平衡-中國,CNY,8.7495,-0.35873
T1659A 群益金選平衡A,2019/04/26,42440058A,跨國平衡-全球型,TWD,10.3429,0.994034
T1659B 群益金選平衡B,2019/04/26,42440058B,跨國平衡-全球型,TWD,8.6409,0.993467
T1659C 群益金選平衡A$,2019/04/26,42440058C,跨國平衡-全球型,USD,10.9368,0.848333
T1659D 群益金選平衡B$,2019/04/26,42440058D,跨國平衡-全球型,USD,9.1392,0.84857
T1659E 群益金選平衡AC,2019/04/26,42440058E,跨國平衡-全球型,CNY,11.563,1.009836
T1659F 群益金選平衡BC,2019/04/26,42440058F,跨國平衡-全球型,CNY,9.6592,1.010186
T2121A 柏瑞中國平衡A,2019/04/26,38651312A,跨國平衡-中國,TWD,10.8042,-2.287218
T2121B 柏瑞中國平衡B,2019/04/26,38651312B,跨國平衡-中國,TWD,9.3906,-2.287105
T2121C 柏瑞中國平衡A$,2019/04/26,38651312C,跨國平衡-中國,USD,11.0623,-2.432507
T2121D 柏瑞中國平衡B$,2019/04/26,38651312D,跨國平衡-中國,USD,9.6243,-2.432026
T2121E 柏瑞中國平衡AC,2019/04/26,38651312E,跨國平衡-中國,CNY,11.8746,-2.420064
T2121F 柏瑞中國平衡BC,2019/04/26,38651312F,跨國平衡-中國,CNY,9.7736,-2.421102
T2121G 柏瑞中國平衡N,2019/04/26,38651312G,跨國平衡-中國,TWD,10.7771,-2.287523
T2121H 柏瑞中國平衡NC,2019/04/26,38651312H,跨國平衡-中國,CNY,11.3103,-2.420865
T2121L 柏瑞中國平衡N$,2019/04/26,38651312K,跨國平衡-中國,USD,11.275,-2.432482
T2206Y 復華傳家,2019/04/26,17138818,平衡--一般股票型,TWD,21.9548,-0.934486
T2209Y 復華傳家二號,2019/04/26,18035945,平衡--一般股票型,TWD,29.9785,-0.912916
T2212Y 復華人生目標,2019/04/26,15742001,平衡--一般股票型,TWD,38.5992,-1.03429
T2213A 復華全球平衡 USD,2019/04/26,99034755B,跨國平衡-全球型,USD,9.15,-0.218102
T2213Y 復華全球平衡,2019/04/26,99034755A,跨國平衡-全球型,TWD,19.52,0.051256
T2214Y 復華神盾,2019/04/26,99607599,平衡--一般股票型,TWD,25.6058,-1.159568
T2217Y 復華亞太平衡,2019/04/26,48733658,跨國平衡-亞洲,TWD,11.48,0
T2291A 復華中新經濟平衡,2019/04/26,42303499A,跨國平衡-中國,TWD,10.39,-1.047619
T2291B 復華中新經濟平AC,2019/04/26,42303499B,跨國平衡-中國,CNY,11.73,-0.593219
T2291C 復華中新經濟平BC,2019/04/26,42303499C,跨國平衡-中國,CNY,10.59,-0.563379
T2507Y 永豐趨勢平衡,2019/04/26,14706582,平衡--一般股票型,TWD,42.61,-0.023462
T2624A 中信入息平衡A,2019/04/26,38530388A,跨國平衡-全球型,TWD,10.923,1.239192
T2624B 中信入息平衡B,2019/04/26,38530388B,跨國平衡-全球型,TWD,9.3227,1.239059
T2630A 中信亞太多元息A,2019/04/26,42329152A,跨國平衡-亞洲,TWD,11.2575,-0.520483
T2630B 中信亞太多元息B,2019/04/26,42329152B,跨國平衡-亞洲,TWD,9.8976,-0.519633
T2639A 中信樂齡收益平A,2019/04/26,42443702A,跨國平衡-全球型,TWD,10.93,2.725565
T2639B 中信樂齡收益平B,2019/04/26,42443702B,跨國平衡-全球型,TWD,10.43,2.657479
T2639C 中信樂齡收益平A$,2019/04/26,42443702C,跨國平衡-全球型,USD,11.06,2.502316
T2639D 中信樂齡收益平B$,2019/04/26,42443702D,跨國平衡-全球型,USD,10.61,2.512077
T3204Y 野村平衡,2019/04/26,17602250,平衡--一般股票型,TWD,19.59,-1.210287
T3221Y 野村鴻利,2019/04/26,00971103,平衡--一般股票型,TWD,23.58,-0.92437
T3295A 野村多元收益平A,2019/04/26,42391084A,跨國平衡-全球型,TWD,10.1633,-0.315826
T3295B 野村多元收益平B,2019/04/26,42391084B,跨國平衡-全球型,TWD,8.2806,-0.314205
T3295C 野村多元收益平A$,2019/04/26,42391084C,跨國平衡-全球型,USD,10.6083,-0.425208
T3295D 野村多元收益平B$,2019/04/26,42391084D,跨國平衡-全球型,USD,8.717,-0.424939
T3295E 野村多元收益平AC,2019/04/26,42391084E,跨國平衡-全球型,CNY,11.1684,-0.210865
T3295F 野村多元收益平BC,2019/04/26,42391084F,跨國平衡-全球型,CNY,8.9442,-0.208639
T3308Y 聯邦金鑽平衡,2019/04/26,98669575,平衡--一般股票型,TWD,23.3214,-1.283408
T3328A 聯邦太平洋平衡A,2019/04/26,38546327A,跨國平衡-亞洲,TWD,12.3568,-0.459968
T3328B 聯邦太平洋平衡B,2019/04/26,38546327B,跨國平衡-亞洲,TWD,11.7804,-0.457138
T3328C 聯邦太平洋平衡AC,2019/04/26,38546327C,跨國平衡-亞洲,CNY,12.9348,-1.041245
T3341A 聯邦全視界平衡A,2019/04/26,42449712A,跨國平衡-全球型,TWD,10.4676,0.662581
T3341B 聯邦全視界平衡B,2019/04/26,42449712B,跨國平衡-全球型,TWD,9.7198,0.662815
T3341C 聯邦全視界平衡AC,2019/04/26,42449712C,跨國平衡-全球型,CNY,11.5531,0.384923
T3341D 聯邦全視界平衡BC,2019/04/26,42449712D,跨國平衡-全球型,CNY,10.7441,0.399951
T3341E 聯邦全視界平衡A$,2019/04/26,42449712E,跨國平衡-全球型,USD,11.2967,0.475843
T3341F 聯邦全視界平衡B$,2019/04/26,42449712F,跨國平衡-全球型,USD,10.4871,0.480024
T3743A 國泰全多重平衡 A,2019/04/26,38582842A,跨國平衡-全球型,TWD,11.06,0.181159
T3743B 國泰全多重平衡 B,2019/04/26,38582842B,跨國平衡-全球型,TWD,9.7,0.1032
T3743C 國泰全多重平衡A$,2019/04/26,38582842C,跨國平衡-全球型,USD,0.4165,0.120193
T3743D 國泰全多重平衡B$,2019/04/26,38582842D,跨國平衡-全球型,USD,0.3709,0.107961
T3743E 國泰全多重平衡I$,2019/04/26,38582842E,跨國平衡-全球型,USD,0.4439,0.135348
T3743F 國泰全多重平衡AA,2019/04/26,38582842F,跨國平衡-全球型,AUD,0.535,1.691695
T3769A 國泰亞太息平衡A,2019/04/26,42331684A,跨國平衡-亞洲,TWD,11.3004,-1.049018
T3769B 國泰亞太息平衡B,2019/04/26,42331684B,跨國平衡-亞洲,TWD,9.8296,-1.048945
T3769C 國泰亞太息平衡A$,2019/04/26,42331684C,跨國平衡-亞洲,USD,0.3666,-1.239224
T3769D 國泰亞太息平衡B$,2019/04/26,42331684D,跨國平衡-亞洲,USD,0.3189,-1.238773
T3769E 國泰亞太息平衡AC,2019/04/26,42331684E,跨國平衡-亞洲,CNY,2.4628,-0.665511
T3769F 國泰亞太息平衡AA,2019/04/26,42331684F,跨國平衡-亞洲,AUD,0.5201,0.347289
T4126A 凱基全高效平衡A,2019/04/26,42453588A,跨國平衡-全球型,TWD,10.37,-0.192493
T4126B 凱基全高效平衡B,2019/04/26,42453588B,跨國平衡-全球型,TWD,9.58,-0.208334
T4126C 凱基全高效平衡A$,2019/04/26,42453588C,跨國平衡-全球型,USD,10.6122,-0.407298
T4332Y 華頓中國機會平衡,2019/04/26,38634406,跨國平衡-中國,TWD,11.6898,-1.383523
T4519A 富蘭亞太平衡A,2019/04/26,42407614A,跨國平衡-亞洲,TWD,10.13,-0.880626
T4519B 富蘭亞太平衡B,2019/04/26,42407614B,跨國平衡-亞洲,TWD,9.18,-0.970874
T4519C 富蘭亞太平衡A$,2019/04/26,42407614C,跨國平衡-亞洲,USD,10.48,-1.038715
T4519D 富蘭亞太平衡B$,2019/04/26,42407614D,跨國平衡-亞洲,USD,9.47,-1.044932
T4519E 富蘭亞太平衡BC,2019/04/26,42407614E,跨國平衡-亞洲,CNY,9.5,-0.938477
T4703Y 台新高股息平衡,2019/04/26,21719942,平衡--一般股票型,TWD,31.5564,-0.047194
T0105Y 兆豐國際萬全,2019/04/19,00971976,平衡--一般股票型,TWD,21.45,1.083883
T0121A 兆豐大中華平衡,2019/04/19,42334401A,跨國平衡-亞洲,TWD,10.22,1.792828
T0121B 兆豐大中華平衡 $,2019/04/19,42334401B,跨國平衡-亞洲,USD,10.99,1.948052
T0121C 兆豐大中華平衡 C,2019/04/19,42334401C,跨國平衡-亞洲,CNY,11.42,1.873326
T0320Y 第一金中概平衡,2019/04/19,99353151,平衡--一般股票型,TWD,26.83,1.321752
T0405Y 匯豐安富,2019/04/19,00971080,平衡--一般股票型,TWD,25.87,0.739875
T0458A 匯豐中多息平Aa,2019/04/19,38647535A,跨國平衡-中國,TWD,11.2384,1.13933
T0458B 匯豐中多息平Bd,2019/04/19,38647535B,跨國平衡-中國,TWD,9.9548,1.139942
T0458C 匯豐中多息平AaC,2019/04/19,38647535C,跨國平衡-中國,CNY,12.2849,1.166075
T0458D 匯豐中多息平BdC,2019/04/19,38647535D,跨國平衡-中國,CNY,10.9074,1.173371
T0458E 匯豐中多息平Aa$,2019/04/19,38647535E,跨國平衡-中國,USD,11.4684,1.263542
T0458F 匯豐中多息平Bd$,2019/04/19,38647535F,跨國平衡-中國,USD,10.1924,1.290932
T05A2A 元大新東協平衡,2019/04/19,42403764A,跨國平衡-亞洲,TWD,9.27,0
T05A2B 元大新東協平衡 $,2019/04/19,42403764B,跨國平衡-亞洲,USD,9.506,0.105307
T05A3A 元大大中華豐平,2019/04/19,42451239A,跨國平衡-亞洲,TWD,11.191,1.680901
T05A3B 元大大中華豐平 C,2019/04/19,42451239B,跨國平衡-亞洲,CNY,11.335,1.704801
T0717Y 瀚亞理財通,2019/04/19,18036769,平衡--一般股票型,TWD,26.9,0.786812
T0747A 瀚亞亞太豐平衡 A,2019/04/19,38621330A,跨國平衡-亞洲,TWD,11.2079,0.081259
T0747B 瀚亞亞太豐平衡 B,2019/04/19,38621330B,跨國平衡-亞洲,TWD,9.0217,0.080982
T0747C 瀚亞亞太豐平衡A$,2019/04/19,38621330C,跨國平衡-亞洲,USD,11.4757,0.176334
T0747D 瀚亞亞太豐平衡B$,2019/04/19,38621330D,跨國平衡-亞洲,USD,9.2485,0.175472
T0747E 瀚亞亞太豐平衡AA,2019/04/19,38621330E,跨國平衡-亞洲,AUD,12.6312,0.199905
T0747F 瀚亞亞太豐平衡BA,2019/04/19,38621330F,跨國平衡-亞洲,AUD,9.4453,0.249422
T0747G 瀚亞亞太豐平衡AZ,2019/04/19,38621330G,跨國平衡-亞洲,ZAR,14.4347,0.578327
T0747H 瀚亞亞太豐平衡BZ,2019/04/19,38621330H,跨國平衡-亞洲,ZAR,10.1246,0.567171
T0747J 瀚亞亞太豐平衡AC,2019/04/19,38621330I,跨國平衡-亞洲,CNY,12.3303,-0.055117
T0747K 瀚亞亞太豐平衡BC,2019/04/19,38621330J,跨國平衡-亞洲,CNY,9.1283,-0.047084
T0814Y 保德信金平衡,2019/04/19,18044064,平衡--價值股票型,TWD,30.35,0.73017
T1114Y 摩根平衡,2019/04/19,18036846,平衡--價值股票型,TWD,27.99,0.466619
T1207Y 華南永昌龍盈平衡,2019/04/19,18477625,平衡--價值股票型,TWD,25.0992,0.605657
T1616Y 群益真善美,2019/04/19,17147605,平衡--一般股票型,TWD,15.9172,-0.31002
T1617Y 群益平衡王,2019/04/19,18037845,平衡--價值股票型,TWD,20.0754,0.355925
T1618Y 群益安家,2019/04/19,29243337,平衡--一般股票型,TWD,25.7664,2.136162
T2206Y 復華傳家,2019/04/19,17138818,平衡--一般股票型,TWD,22.1619,1.801587
T2209Y 復華傳家二號,2019/04/19,18035945,平衡--一般股票型,TWD,30.2547,0.365906
T2212Y 復華人生目標,2019/04/19,15742001,平衡--一般股票型,TWD,39.0026,1.479683
T2213A 復華全球平衡 USD,2019/04/19,99034755B,跨國平衡-全球型,USD,9.17,-0.542299
T2213Y 復華全球平衡,2019/04/19,99034755A,跨國平衡-全球型,TWD,19.51,-0.661915
T2214Y 復華神盾,2019/04/19,99607599,平衡--一般股票型,TWD,25.9062,1.533613
T2507Y 永豐趨勢平衡,2019/04/19,14706582,平衡--一般股票型,TWD,42.62,1.524535
T3204Y 野村平衡,2019/04/19,17602250,平衡--一般股票型,TWD,19.83,2.216495
T3221Y 野村鴻利,2019/04/19,00971103,平衡--一般股票型,TWD,23.8,2.365591
T3308Y 聯邦金鑽平衡,2019/04/19,98669575,平衡--一般股票型,TWD,23.6246,1.123614
T3769A 國泰亞太息平衡A,2019/04/19,42331684A,跨國平衡-亞洲,TWD,11.4202,0.781885
T3769B 國泰亞太息平衡B,2019/04/19,42331684B,跨國平衡-亞洲,TWD,9.9338,0.782208
T3769C 國泰亞太息平衡A$,2019/04/19,42331684C,跨國平衡-亞洲,USD,0.3712,0.896983
T3769D 國泰亞太息平衡B$,2019/04/19,42331684D,跨國平衡-亞洲,USD,0.3229,0.90625
T3769E 國泰亞太息平衡AC,2019/04/19,42331684E,跨國平衡-亞洲,CNY,2.4793,0.78865
T3769F 國泰亞太息平衡AA,2019/04/19,42331684F,跨國平衡-亞洲,AUD,0.5183,1.171189
T4519A 富蘭亞太平衡A,2019/04/19,42407614A,跨國平衡-亞洲,TWD,10.22,0.689655
T4519B 富蘭亞太平衡B,2019/04/19,42407614B,跨國平衡-亞洲,TWD,9.27,0.760869
T4519C 富蘭亞太平衡A$,2019/04/19,42407614C,跨國平衡-亞洲,USD,10.59,0.76118
T4519D 富蘭亞太平衡B$,2019/04/19,42407614D,跨國平衡-亞洲,USD,9.57,0.736842
T4519E 富蘭亞太平衡BC,2019/04/19,42407614E,跨國平衡-亞洲,CNY,9.59,0.735294
T4703Y 台新高股息平衡,2019/04/19,21719942,平衡--一般股票型,TWD,31.5713,1.254322
T0105Y 兆豐國際萬全,2019/04/12,00971976,平衡--一般股票型,TWD,21.22,0.903472
T0121A 兆豐大中華平衡,2019/04/12,42334401A,跨國平衡-亞洲,TWD,10.04,0.2997
T0121B 兆豐大中華平衡 $,2019/04/12,42334401B,跨國平衡-亞洲,USD,10.78,0.185874
T0121C 兆豐大中華平衡 C,2019/04/12,42334401C,跨國平衡-亞洲,CNY,11.21,0.089286
T0320Y 第一金中概平衡,2019/04/12,99353151,平衡--一般股票型,TWD,26.48,0.99161
T0343A 第一金全球多息 A,2019/04/12,38539992A,跨國平衡-全球型,TWD,10.2961,0.455635
T0343B 第一金全球多息 B,2019/04/12,38539992B,跨國平衡-全球型,TWD,8.4817,0.455987
T0405Y 匯豐安富,2019/04/12,00971080,平衡--一般股票型,TWD,25.68,0.156005
T0458A 匯豐中多息平Aa,2019/04/12,38647535A,跨國平衡-中國,TWD,11.1118,-0.202078
T0458B 匯豐中多息平Bd,2019/04/12,38647535B,跨國平衡-中國,TWD,9.8426,-0.201774
T0458C 匯豐中多息平AaC,2019/04/12,38647535C,跨國平衡-中國,CNY,12.1433,-0.459859
T0458D 匯豐中多息平BdC,2019/04/12,38647535D,跨國平衡-中國,CNY,10.7809,-0.519507
T0458E 匯豐中多息平Aa$,2019/04/12,38647535E,跨國平衡-中國,USD,11.3253,-0.405403
T0458F 匯豐中多息平Bd$,2019/04/12,38647535F,跨國平衡-中國,USD,10.0625,-0.450139
T0479A 匯亞exJP多息平 A,2019/04/12,42443317A,跨國平衡-亞洲,TWD,10.77,0.186048
T0479B 匯亞exJP多息Bd,2019/04/12,42443317B,跨國平衡-亞洲,TWD,10.21,0.098038
T0479C 匯亞exJP多息BdC,2019/04/12,42443317C,跨國平衡-亞洲,CNY,11.22,-0.089047
T0479D 匯亞exJP多息平A$,2019/04/12,42443317D,跨國平衡-亞洲,USD,11.5,0
T0479E 匯亞exJP多息Bd$,2019/04/12,42443317E,跨國平衡-亞洲,USD,10.89,0.000001
T0479F 匯亞exJP多息BdA,2019/04/12,42443317F,跨國平衡-亞洲,AUD,10.84,0.092336
T0591A 元大中平衡 CNY,2019/04/12,31830473B,跨國平衡-中國,CNY,3.1,-0.958465
T0591Y 元大中平衡 NTD,2019/04/12,31830473A,跨國平衡-中國,TWD,14.23,-0.48951
T05A2A 元大新東協平衡,2019/04/12,42403764A,跨國平衡-亞洲,TWD,9.27,0.324675
T05A2B 元大新東協平衡 $,2019/04/12,42403764B,跨國平衡-亞洲,USD,9.496,0.094866
T05A3A 元大大中華豐平,2019/04/12,42451239A,跨國平衡-亞洲,TWD,11.006,-0.018168
T05A3B 元大大中華豐平 C,2019/04/12,42451239B,跨國平衡-亞洲,CNY,11.145,-0.295222
T0717Y 瀚亞理財通,2019/04/12,18036769,平衡--一般股票型,TWD,26.69,0.489459
T0747A 瀚亞亞太豐平衡 A,2019/04/12,38621330A,跨國平衡-亞洲,TWD,11.1988,0.39085
T0747B 瀚亞亞太豐平衡 B,2019/04/12,38621330B,跨國平衡-亞洲,TWD,9.0144,0.391679
T0747C 瀚亞亞太豐平衡A$,2019/04/12,38621330C,跨國平衡-亞洲,USD,11.4555,0.271346
T0747D 瀚亞亞太豐平衡B$,2019/04/12,38621330D,跨國平衡-亞洲,USD,9.2323,0.272864
T0747E 瀚亞亞太豐平衡AA,2019/04/12,38621330E,跨國平衡-亞洲,AUD,12.606,-0.156821
T0747F 瀚亞亞太豐平衡BA,2019/04/12,38621330F,跨國平衡-亞洲,AUD,9.4218,-0.159268
T0747G 瀚亞亞太豐平衡AZ,2019/04/12,38621330G,跨國平衡-亞洲,ZAR,14.3517,-0.082154
T0747H 瀚亞亞太豐平衡BZ,2019/04/12,38621330H,跨國平衡-亞洲,ZAR,10.0675,0.177591
T0747J 瀚亞亞太豐平衡AC,2019/04/12,38621330I,跨國平衡-亞洲,CNY,12.3371,0.461713
T0747K 瀚亞亞太豐平衡BC,2019/04/12,38621330J,跨國平衡-亞洲,CNY,9.1326,0.461347
T0754A 瀚亞印策收平衡A,2019/04/12,42481830A,跨國平衡-單一國,TWD,9.79,-0.609138
T0754B 瀚亞印策收平衡B,2019/04/12,42481830B,跨國平衡-單一國,TWD,8.81,-0.653674
T0754C 瀚亞印策收平衡B$,2019/04/12,42481830C,跨國平衡-單一國,USD,8.64,-0.791147
T0754D 瀚亞印策收平衡BC,2019/04/12,42481830D,跨國平衡-單一國,CNY,8.75,-0.549825
T0754E 瀚亞印策收平衡S,2019/04/12,42481830E,跨國平衡-單一國,TWD,8.82,-0.652278
T0754F 瀚亞印策收平衡S$,2019/04/12,42481830F,跨國平衡-單一國,USD,8.68,-0.784892
T0754G 瀚亞印策收平衡SC,2019/04/12,42481830G,跨國平衡-單一國,CNY,8.7,-0.556287
T0814Y 保德信金平衡,2019/04/12,18044064,平衡--價值股票型,TWD,30.13,0.466822
T0890A 保德信中國好平A,2019/04/12,42330171A,跨國平衡-中國,TWD,11.0893,-0.420255
T0890B 保德信中國好平B,2019/04/12,42330171B,跨國平衡-中國,TWD,10.0942,-0.419269
