Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
T0586Y 元大印度指數基金,TW000T0586Y5,26203825,元大新興國家指數傘型證券投資信託基金之印度指數證券投資信託基金,NTD,元大證券投資信託,Current,2010/09/24,,"國內募集,投資國內外",開放,其他市場指數型,指數型基金,
T0587Y 元大印尼指數基金,TW000T0587Y3,26203846,元大新興國家指數傘型證券投資信託基金之印尼指數證券投資信託基金,NTD,元大證券投資信託,Current,2010/09/24,,"國內募集,投資國內外",開放,其他市場指數型,指數型基金,
T0588A 元大全球國富債 A,TW000T0588A1,26297576A,元大全球國富債券證券投資信託基金 A類型,NTD,元大證券投資信託,Current,2011/03/17,2016/09/19,"國內募集,投資國內外",開放,投資債--全球,債券,清算
T0588B 元大全球國富債 B,TW000T0588B9,26297576B,元大全球國富債券證券投資信託基金 B類型,NTD,元大證券投資信託,Current,2011/03/17,2016/09/19,"國內募集,投資國內外",開放,投資債--全球,債券,清算
T0589Y 元大新興市場 ESG,TW000T0589Y9,26326707,元大新興市場 ESG策略證券投資信託基金,NTD,元大證券投資信託,Current,2011/09/15,2018/05/10,"國內募集,投資國內外",開放,跨國--新興市場,股票,被併入 T0558Y  元大新興亞洲基金
T0591A 元大中平衡 CNY,TW000T0591A5,31830473B,元大中國傘型證券投資信託基金之中國平衡證券投資信託基金－人民幣計價,RMB,元大證券投資信託,Current,2013/08/01,,"國內募集,投資國內外",開放,跨國平衡-中國,股票+債券,
T0591Y 元大中平衡 NTD,TW000T0591Y5,31830473A,元大中國傘型證券投資信託基金之中國平衡證券投資信託基金－新臺幣計價,NTD,元大證券投資信託,Current,2012/04/25,,"國內募集,投資國內外",開放,跨國平衡-中國,股票+債券,
T0593A 元大亞太政府債 A,TW000T0593A1,31931789A,元大亞太政府公債指數證券投資信託基金 A類型,NTD,元大證券投資信託,Current,2013/04/03,,"國內募集,投資國內外",開放,投資債--其他,指數型基金,
T0593B 元大亞太政府債 B,TW000T0593B9,31931789B,元大亞太政府公債指數證券投資信託基金 B類型,NTD,元大證券投資信託,Current,2013/04/03,,"國內募集,投資國內外",開放,投資債--其他,指數型基金,
T0594A 元大中國機會債券,TW000T0594A9,38546950A,元大人民幣利基傘型證券投資信託基金之中國機會債券基金,NTD,元大證券投資信託,Current,2014/06/27,,"國內募集,投資國內外",開放,投資債--中國大陸,債券,
T0594B 元大中國機債 A C,TW000T0594B7,38546950B,元大人民幣利基傘型證券投資信託基金之中國機會債券基金－累積型人民幣計價,RMB,元大證券投資信託,Current,2014/06/27,,"國內募集,投資國內外",開放,投資債--中國大陸,債券,
T0594C 元大中國機債 B C,TW000T0594C5,38546950C,元大人民幣利基傘型證券投資信託基金之中國機會債券基金－分配型人民幣計價,RMB,元大證券投資信託,Current,2014/06/27,,"國內募集,投資國內外",開放,投資債--中國大陸,債券,
T0595A 元大人民幣貨幣市,TW000T0595A6,38546966A,元大人民幣利基傘型證券投資信託基金之人民幣貨幣市場基金,NTD,元大證券投資信託,Current,2014/06/27,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T0595B 元大人民幣貨市 C,TW000T0595B4,38546966B,元大人民幣利基傘型證券投資信託基金之人民幣貨幣市場基金（人民幣計價）,RMB,元大證券投資信託,Current,2014/06/27,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T0596A 元大大中華 TMT,TW000T0596A4,38639090A,元大大中華 TMT證券投資信託基金,NTD,元大證券投資信託,Current,2015/01/23,,"國內募集,投資國內外",開放,跨國--大中華區,股票,
T0596B 元大大中華 TMT C,TW000T0596B2,38639090B,元大大中華 TMT證券投資信託基金－人民幣計價,RMB,元大證券投資信託,Current,2015/01/23,,"國內募集,投資國內外",開放,跨國--大中華區,股票,
T0597A 元大全股票入息A,TW000T0597A2,42307684A,元大全球股票入息證券投資信託基金－ A類型新台幣計價,NTD,元大證券投資信託,Current,2015/07/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T0597B 元大全股票入息B,TW000T0597B0,42307684B,元大全球股票入息證券投資信託基金－ B類型新台幣計價,NTD,元大證券投資信託,Current,2015/07/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T0597C 元大全股票入息B$,TW000T0597C8,42307684C,元大全球股票入息證券投資信託基金－ B類型美元計價,USD,元大證券投資信託,Current,2015/07/01,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T0598A 元大新興印尼債A,TW000T0598A0,42321314A,元大新興印尼機會債券證券投資信託基金－ A類型新台幣計價,NTD,元大證券投資信託,Current,2015/09/15,,"國內募集,投資國內外",開放,投資債--新興亞洲,債券,
T0598B 元大新興印尼債B,TW000T0598B8,42321314B,元大新興印尼機會債券證券投資信託基金－ B類型新台幣計價,NTD,元大證券投資信託,Current,2015/09/15,,"國內募集,投資國內外",開放,投資債--新興亞洲,債券,
T0598C 元大新興印尼債B$,TW000T0598C6,42321314C,元大新興印尼機會債券證券投資信託基金－ B類型美元計價,USD,元大證券投資信託,Current,2015/09/15,,"國內募集,投資國內外",開放,投資債--新興亞洲,債券,
T0598D 元大新興印尼債BC,TW000T0598D4,42321314D,元大新興印尼機會債券證券投資信託基金－ B類型人民幣計價,RMB,元大證券投資信託,Current,2015/09/15,,"國內募集,投資國內外",開放,投資債--新興亞洲,債券,
T0599A 元大美元公司債A,TW000T0599A8,42381749A,元大美元傘型證券投資信託基金之元大全球美元公司債券證券投資信託基金－新臺幣計價 A類型,NTD,元大證券投資信託,Current,2016/03/10,2018/05/10,"國內募集,投資國內外",開放,投資債--全球,債券,被併入 T05A6A  元大新興亞洲美元債券A
T0599B 元大美元公司債B,TW000T0599B6,42381749B,元大美元傘型證券投資信託基金之元大全球美元公司債券證券投資信託基金－新臺幣計價 B類型,NTD,元大證券投資信託,Current,2016/03/10,2018/05/10,"國內募集,投資國內外",開放,投資債--全球,債券,被併入 T05A6A  元大新興亞洲美元債券A
T0599C 元大美元公司債A$,TW000T0599C4,42381749C,元大美元傘型證券投資信託基金之元大全球美元公司債券證券投資信託基金－美元計價 A類型,USD,元大證券投資信託,Current,2016/03/10,2018/05/10,"國內募集,投資國內外",開放,投資債--全球,債券,被併入 T05A6A  元大新興亞洲美元債券A
T0599D 元大美元公司債B$,TW000T0599D2,42381749D,元大美元傘型證券投資信託基金之元大全球美元公司債券證券投資信託基金－美元計價 B類型,USD,元大證券投資信託,Current,2016/03/10,2018/05/10,"國內募集,投資國內外",開放,投資債--全球,債券,被併入 T05A6A  元大新興亞洲美元債券A
T05A1A 元大美元貨市,TW000T05A1A9,42381754A,元大美元傘型證券投資信託基金之元大美元貨幣市場證券投資信託基金,NTD,元大證券投資信託,Current,2016/03/10,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T05A1B 元大美元貨市 USD,TW000T05A1B7,42381754B,元大美元傘型證券投資信託基金之元大美元貨幣市場證券投資信託基金－美元計價,USD,元大證券投資信託,Current,2016/03/10,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T05A2A 元大新東協平衡,TW000T05A2A7,42403764A,元大新東協平衡證券投資信託基金－新臺幣計價,NTD,元大證券投資信託,Current,2016/08/01,,"國內募集,投資國內外",開放,跨國平衡-亞洲,股票+債券,
T05A2B 元大新東協平衡 $,TW000T05A2B5,42403764B,元大新東協平衡證券投資信託基金－美元計價,USD,元大證券投資信託,Current,2016/08/01,,"國內募集,投資國內外",開放,跨國平衡-亞洲,股票+債券,
T05A3A 元大大中華豐平,TW000T05A3A5,42451239A,元大大中華豐益平衡證券投資信託基金－新台幣計價,NTD,元大證券投資信託,Current,2016/11/01,,"國內募集,投資國內外",開放,跨國平衡-亞洲,股票+債券,
T05A3B 元大大中華豐平 C,TW000T05A3B3,42451239B,元大大中華豐益平衡證券投資信託基金－人民幣計價,RMB,元大證券投資信託,Current,2016/11/01,,"國內募集,投資國內外",開放,跨國平衡-亞洲,股票+債券,
T05A5A 元大澳幣貨市場,TW000T05A5A0,42458937A,元大澳幣貨幣市場證券投資信託基金－新臺幣計價,NTD,元大證券投資信託,Current,2017/01/19,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T05A5B 元大澳幣貨市場 A,TW000T05A5B8,42458937B,元大澳幣貨幣市場證券投資信託基金－澳幣計價,AUD,元大證券投資信託,Current,2017/01/19,,"國內募集,投資國內外",開放,海外貨幣市場,貨幣,
T05A6A 元大新亞USD債A,TW000T05A6A8,42481326A,元大新興亞洲美元債券證券投資信託基金 A類型,NTD,元大證券投資信託,Current,2017/03/29,,"國內募集,投資國內外",開放,高收債--新興市場,債券,
T05A6B 元大新亞USD債AH,TW000T05A6B6,42481326B,元大新興亞洲美元債券證券投資信託基金 A類型(避險),NTD,元大證券投資信託,Current,2017/03/29,,"國內募集,投資國內外",開放,高收債--新興市場,債券,
T05A6C 元大新亞USD債B,TW000T05A6C4,42481326C,元大新興亞洲美元債券證券投資信託基金 B類型,NTD,元大證券投資信託,Current,2017/03/29,,"國內募集,投資國內外",開放,高收債--新興市場,債券,
T05A6D 元大新亞USD債A$,TW000T05A6D2,42481326D,元大新興亞洲美元債券證券投資信託基金美元計價 A類型,USD,元大證券投資信託,Current,2017/03/29,,"國內募集,投資國內外",開放,高收債--新興市場,債券,
T05A6E 元大新亞USD債B$,TW000T05A6E0,42481326E,元大新興亞洲美元債券證券投資信託基金美元計價 B類型,USD,元大證券投資信託,Current,2017/03/29,,"國內募集,投資國內外",開放,高收債--新興市場,債券,
T05A7A 元亞太高息100 A,TW000T05A7A6,42525387A,元大亞太優質高股息 100指數證券投資信託基金－新臺幣A類型,NTD,元大證券投資信託,Current,2017/11/01,,"國內募集,投資國內外",開放,跨國-區指數非ETF,指數型基金,
T05A7B 元亞太高息100 B,TW000T05A7B4,42525387B,元大亞太優質高股息 100指數證券投資信託基金－新臺幣B類型,NTD,元大證券投資信託,Current,2017/11/01,,"國內募集,投資國內外",開放,跨國-區指數非ETF,指數型基金,
T05A7C 元亞太高息100 I,TW000T05A7C2,42525387C,元大亞太優質高股息 100指數證券投資信託基金－新臺幣I類型,NTD,元大證券投資信託,Current,2017/11/01,,"國內募集,投資國內外",開放,跨國-區指數非ETF,指數型基金,
T05A7D 元亞太優高息100$,TW000T05A7D0,42525387D,元大亞太優質高股息 100指數證券投資信託基金－美元B類型,USD,元大證券投資信託,Current,2017/11/01,,"國內募集,投資國內外",開放,跨國-區指數非ETF,指數型基金,
T05A7E 元亞太高息100AUD,TW000T05A7E8,42525387E,元大亞太優質高股息 100指數證券投資信託基金－澳幣B類型,AUD,元大證券投資信託,Current,2017/11/01,,"國內募集,投資國內外",開放,跨國-區指數非ETF,指數型基金,
T05A8A 元大新雙印4Y債A,TW000T05A8A4,42538806A,元大新興雙印四年到期債券證券投資信託基金－A類型-不配息新臺幣,NTD,元大證券投資信託,Current,2017/11/30,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T05A8B 元大新雙印4Y債B,TW000T05A8B2,42538806B,元大新興雙印四年到期債券證券投資信託基金－B類型-配息新臺幣,NTD,元大證券投資信託,Current,2017/11/30,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T05A8C 元大新雙印4Y債A$,TW000T05A8C0,42538806C,元大新興雙印四年到期債券證券投資信託基金－A類型-不配息美元,USD,元大證券投資信託,Current,2017/11/30,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T05A8D 元大新雙印4Y債B$,TW000T05A8D8,42538806D,元大新興雙印四年到期債券證券投資信託基金－B類型-配息美元,USD,元大證券投資信託,Current,2017/11/30,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T05A9A 元大多重資產,TW000T05A9A2,72935887A,元大實質多重資產證券投資信託基金 新臺幣,NTD,元大證券投資信託,Current,2018/01/30,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T05A9B 元大多重資產$,TW000T05A9B0,72935887B,元大實質多重資產證券投資信託基金 美元,USD,元大證券投資信託,Current,2018/01/30,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T05A9C 元大多重資產C,TW000T05A9C8,72935887C,元大實質多重資產證券投資信託基金 人民幣,RMB,元大證券投資信託,Current,2018/01/30,,"國內募集,投資國內外",開放,多重資產型,多重資產型,
T05B1A 元大亞優高債Aa,TW000T05B1A8,73636628A,元大亞洲優選高收益債券證券投資信託基金－ A類型不配息新臺幣,NTD,元大證券投資信託,Current,2018/11/23,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T05B1B 元大亞優高債Bd,TW000T05B1B6,73636628B,元大亞洲優選高收益債券證券投資信託基金－ B類型配息新臺幣,NTD,元大證券投資信託,Current,2018/11/23,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T05B1C 元大亞優高債Aa$,TW000T05B1C4,73636628C,元大亞洲優選高收益債券證券投資信託基金－ A類型不配息美元,USD,元大證券投資信託,Current,2018/11/23,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T05B1D 元大亞優高債Bd$,TW000T05B1D2,73636628D,元大亞洲優選高收益債券證券投資信託基金－ B類型配息美元,USD,元大證券投資信託,Current,2018/11/23,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T05B1E 元大亞優高債BdCh,TW000T05B1E0,73636628E,元大亞洲優選高收益債券證券投資信託基金－ B類型(避險)配息人民幣,RMB,元大證券投資信託,Current,2018/11/23,,"國內募集,投資國內外",開放,高收債--亞洲,債券,
T0601Y 景順潛力,TW000T0601Y2,92019786,景順潛力證券投資信託基金,NTD,景順證券投資信託,Current,1995/08/09,,"國內募集,投資國內",開放,開放式一般型,股票,
T0602Y 景順貨幣市場基金,TW000T0602Y0,92025942,景順貨幣市場證券投資信託基金,NTD,景順證券投資信託,Current,1995/11/09,,"國內募集,投資國內",開放,國內貨幣市場,貨幣,
T0603Y 景順全球科技,TW000T0603Y8,97993482,景順全球科技證券投資信託基金,NTD,景順證券投資信託,Current,1996/11/18,,"國內募集,投資國內外",開放,跨國--全球股票,科技股,
T0605Y 景順台灣科技,TW000T0605Y3,73989256,景順台灣科技證券投資信託基金,NTD,景順證券投資信託,Current,1998/08/24,,"國內募集,投資國內",開放,開放式科技類,科技股,
T0606Y 景順主流,TW000T0606Y1,17140568,景順主流證券投資信託基金,NTD,景順證券投資信託,Current,1999/09/10,,"國內募集,投資國內",開放,開放式一般型,股票,
T0609Y 景順全球康健,TW000T0609Y5,14687516,景順全球康健證券投資信託基金,NTD,景順證券投資信託,Current,2002/06/05,,"國內募集,投資國內外",開放,跨國--全球股票,股票,
T0612A 景順人幣新亞息 A,TW000T0612A9,38522556A,景順人民幣新興亞太入息證券投資信託基金 A類型,NTD,景順證券投資信託,Current,2014/03/20,,"國內募集,投資國內外",開放,投資債--其他,債券,
T0612B 景順人幣新亞息 B,TW000T0612B7,38522556B,景順人民幣新興亞太入息證券投資信託基金 B類型,NTD,景順證券投資信託,Current,2014/03/20,,"國內募集,投資國內外",開放,投資債--其他,債券,
T0612C 景順人幣新亞息A$,TW000T0612C5,38522556C,景順人民幣新興亞太入息證券投資信託基金 A類型美元計價,USD,景順證券投資信託,Current,2014/03/20,,"國內募集,投資國內外",開放,投資債--其他,債券,
T0612D 景順人幣新亞息B$,TW000T0612D3,38522556D,景順人民幣新興亞太入息證券投資信託基金 B類型美元計價,USD,景順證券投資信託,Current,2014/03/20,,"國內募集,投資國內外",開放,投資債--其他,債券,
T0612E 景順人幣新亞息AC,TW000T0612E1,38522556E,景順人民幣新興亞太入息證券投資信託基金 A類型人民幣計價,RMB,景順證券投資信託,Current,2014/03/20,,"國內募集,投資國內外",開放,投資債--其他,債券,
T0612F 景順人幣新亞息BC,TW000T0612F8,38522556F,景順人民幣新興亞太入息證券投資信託基金 B類型人民幣計價,RMB,景順證券投資信託,Current,2014/03/20,,"國內募集,投資國內外",開放,投資債--其他,債券,
T0613A 景順全智慧組合A,TW000T0613A7,42391079A,景順全天候智慧組合證券投資信託基金－累積型新臺幣計價,NTD,景順證券投資信託,Current,2016/05/05,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T0613B 景順全智慧組合B,TW000T0613B5,42391079B,景順全天候智慧組合證券投資信託基金－月配息型新臺幣計價,NTD,景順證券投資信託,Current,2016/05/05,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T0613C 景順全智慧組合A$,TW000T0613C3,42391079C,景順全天候智慧組合證券投資信託基金－累積型美元計價,USD,景順證券投資信託,Current,2016/05/05,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T0613D 景順全智慧組合B$,TW000T0613D1,42391079D,景順全天候智慧組合證券投資信託基金－月配息型美元計價,USD,景順證券投資信託,Current,2016/05/05,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T0613E 景順全智慧組合BC,TW000T0613E9,42391079E,景順全天候智慧組合證券投資信託基金－月配型人民幣計價,RMB,景順證券投資信託,Current,2016/12/28,,"國內募集,投資國內外",開放,跨國組合--平衡型,基金,
T0614A 景順2023新主債A,TW000T0614A5,42524129A,景順2023目標到期新興主權債券證券投資信託基金－累積型新臺幣計價,NTD,景順證券投資信託,Current,2017/07/18,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0614B 景順2023新主債B,TW000T0614B3,42524129B,景順2023目標到期新興主權債券證券投資信託基金－配息型新臺幣計價,NTD,景順證券投資信託,Current,2017/07/18,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0614C 景順2023新主債A$,TW000T0614C1,42524129C,景順2023目標到期新興主權債券證券投資信託基金－累積型美元計價,USD,景順證券投資信託,Current,2017/07/18,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0614D 景順2023新主債B$,TW000T0614D9,42524129D,景順2023目標到期新興主權債券證券投資信託基金－配息型美元計價,USD,景順證券投資信託,Current,2017/07/18,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0615A 景順2024新興債A,TW000T0615A2,72949003A,景順2024到期債券傘型證券投資信託基金－景順2024到期新興市場債券證券投資信託基金 累積型新臺幣,NTD,景順證券投資信託,Current,2018/03/09,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0615B 景順2024新興債B,TW000T0615B0,72949003B,景順2024到期債券傘型證券投資信託基金－景順2024到期新興市場債券證券投資信託基金 配息型新臺幣,NTD,景順證券投資信託,Current,2018/03/09,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0615C 景順2024新興債A$,TW000T0615C8,72949003C,景順2024到期債券傘型證券投資信託基金－景順2024到期新興市場債券證券投資信託基金 累積型美元,USD,景順證券投資信託,Current,2018/03/09,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0615D 景順2024新興債B$,TW000T0615D6,72949003D,景順2024到期債券傘型證券投資信託基金－景順2024到期新興市場債券證券投資信託基金 配息型美元,USD,景順證券投資信託,Current,2018/03/09,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0616A 景順2024新主債A,TW000T0616A0,72949019A,景順2024到期債券傘型證券投資信託基金－景順2024到期新興市場主權債券證券投資信託基金 累積型新臺幣,NTD,景順證券投資信託,Current,2018/03/09,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0616B 景順2024新主債A$,TW000T0616B8,72949019B,景順2024到期債券傘型證券投資信託基金－景順2024到期新興市場主權債券證券投資信託基金 累積型美元,USD,景順證券投資信託,Current,2018/03/09,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0617A 景順2024優新債A,TW000T0617A8,72965328A,景順2024到期優選新興債券證券投資信託基金 累積型新臺幣,NTD,景順證券投資信託,Current,2018/08/03,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0617B 景順2024優新債A$,TW000T0617B6,72965328B,景順2024到期優選新興債券證券投資信託基金 累積型美元,USD,景順證券投資信託,Current,2018/08/03,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0617C 景順2024優新債B$,TW000T0617C4,72965328C,景順2024到期優選新興債券證券投資信託基金 配息型美元,USD,景順證券投資信託,Current,2018/08/03,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0617D 景順2024優新債AC,TW000T0617D2,72965328D,景順2024到期優選新興債券證券投資信託基金 累積型人民幣,RMB,景順證券投資信託,Current,2018/08/03,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0617E 景順2024優新債BC,TW000T0617E0,72965328E,景順2024到期優選新興債券證券投資信託基金 配息型人民幣,RMB,景順證券投資信託,Current,2018/08/03,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0617F 景順2024優新債AZ,TW000T0617F7,72965328F,景順2024到期優選新興債券證券投資信託基金 累積型南非幣,RAND,景順證券投資信託,Current,2018/08/03,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0617G 景順2024優新債BZ,TW000T0617G5,72965328G,景順2024到期優選新興債券證券投資信託基金 配息型南非幣,RAND,景順證券投資信託,Current,2018/08/03,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0618A 景順2024精新債,TW000T0618A6,72976161A,景順2024到期精選新興債券證券投資信託基金 新臺幣,NTD,景順證券投資信託,Current,2018/09/17,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0618B 景順2024精新債$,TW000T0618B4,72976161B,景順2024到期精選新興債券證券投資信託基金 美元,USD,景順證券投資信託,Current,2018/09/17,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0618C 景順2024精新債C,TW000T0618C2,72976161C,景順2024到期精選新興債券證券投資信託基金 人民幣,RMB,景順證券投資信託,Current,2018/09/17,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0619A 景順2028精債Bd,TW000T0619A4,73676959A,景順2028到期精選新興債券證券投資信託基金 配息型新臺幣,NTD,景順證券投資信託,Current,2018/12/07,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0619B 景順2028精債Bd$,TW000T0619B2,73676959B,景順2028到期精選新興債券證券投資信託基金 配息型美元,USD,景順證券投資信託,Current,2018/12/07,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0619C 景順2028精債BdC,TW000T0619C0,73676959C,景順2028到期精選新興債券證券投資信託基金 配息型人民幣,RMB,景順證券投資信託,Current,2018/12/07,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0620A 景順2025優新Aa$,TW000T0620A2,73710632A,景順2025到期優選新興債券證券投資信託基金 累積型美元,USD,景順證券投資信託,Current,2019/01/25,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0620B 景順2025優新Bd$,TW000T0620B0,73710632B,景順2025到期優選新興債券證券投資信託基金 配息型美元,USD,景順證券投資信託,Current,2019/01/25,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0620C 景順2025優新AaC,TW000T0620C8,73710632C,景順2025到期優選新興債券證券投資信託基金 累積型人民幣,RMB,景順證券投資信託,Current,2019/01/25,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0620D 景順2025優新BdC,TW000T0620D6,73710632D,景順2025到期優選新興債券證券投資信託基金 配息型人民幣,RMB,景順證券投資信託,Current,2019/01/25,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0620E 景順2025優新AaZ,TW000T0620E4,73710632E,景順2025到期優選新興債券證券投資信託基金 累積型南非幣,RAND,景順證券投資信託,Current,2019/01/25,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0620F 景順2025優新BdZ,TW000T0620F1,73710632F,景順2025到期優選新興債券證券投資信託基金 配息型南非幣,RAND,景順證券投資信託,Current,2019/01/25,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0621A 景順2025階新Aa$,TW000T0621A0,74438800A,景順2025階梯到期優選新興債券證券投資信託基金 累積型美元,USD,景順證券投資信託,Current,2019/02/27,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0621B 景順2025階新Bd$,TW000T0621B8,74438800B,景順2025階梯到期優選新興債券證券投資信託基金 配息型美元,USD,景順證券投資信託,Current,2019/02/27,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0621C 景順2025階新AaC,TW000T0621C6,74438800C,景順2025階梯到期優選新興債券證券投資信託基金 累積型人民幣,RMB,景順證券投資信託,Current,2019/02/27,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0621D 景順2025階新BdC,TW000T0621D4,74438800D,景順2025階梯到期優選新興債券證券投資信託基金 配息型人民幣,RMB,景順證券投資信託,Current,2019/02/27,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0622A 景順2029新Bd,TW000T0622A8,74728110A,景順到期債券傘型證券投資信託基金之景順2029到期精選新興債券證券投資信託基金 配息型新臺幣,NTD,景順證券投資信託,Current,2019/05/20,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0622B 景順2029新Bd$,TW000T0622B6,74728110B,景順到期債券傘型證券投資信託基金之景順2029到期精選新興債券證券投資信託基金 配息型美元,USD,景順證券投資信託,Current,2019/05/20,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0622C 景順2029新BdC,TW000T0622C4,74728110C,景順到期債券傘型證券投資信託基金之景順2029到期精選新興債券證券投資信託基金 配息型人民幣,RMB,景順證券投資信託,Current,2019/05/20,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0623A 景順2025新Aa,TW000T0623A6,74728239A,景順到期債券傘型證券投資信託基金之景順2025到期精選新興債券證券投資信託基金 新臺幣,NTD,景順證券投資信託,Current,2019/05/20,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0623B 景順2025新Aa$,TW000T0623B4,74728239B,景順到期債券傘型證券投資信託基金之景順2025到期精選新興債券證券投資信託基金 美元,USD,景順證券投資信託,Current,2019/05/20,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0623C 景順2025新AaC,TW000T0623C2,74728239C,景順到期債券傘型證券投資信託基金之景順2025到期精選新興債券證券投資信託基金 人民幣,RMB,景順證券投資信託,Current,2019/05/20,,"國內募集,投資國內外",開放,投資債--目標到期,債券,
T0704Y 瀚亞高科技,TW000T0704Y4,92003102,瀚亞高科技證券投資信託基金,NTD,瀚亞證券投資信託,Current,1994/11/14,,"國內募集,投資國內",開放,開放式科技類,科技股,
T0705Y 瀚亞外銷,TW000T0705Y1,92012572,瀚亞外銷證券投資信託基金,NTD,瀚亞證券投資信託,Current,1995/03/27,,"國內募集,投資國內",開放,開放式一般型,股票,
T0708Y 瀚亞菁華,TW000T0708Y5,97990696,瀚亞菁華證券投資信託基金,NTD,瀚亞證券投資信託,Current,1996/10/01,,"國內募集,投資國內",開放,開放式一般型,股票,
T0711Y 瀚亞中小型股,TW000T0711Y9,81595924,瀚亞中小型股證券投資信託基金,NTD,瀚亞證券投資信託,Current,1998/04/03,,"國內募集,投資國內",開放,開放式中小型,小型股,
T0712Y 瀚亞威寶貨幣基金,TW000T0712Y7,83867345,瀚亞威寶貨幣市場證券投資信託基金,NTD,瀚亞證券投資信託,Current,1998/12/23,,"國內募集,投資國內",開放,國內貨幣市場,貨幣,
T0715Y 瀚亞電通網,TW000T0715Y0,17603899,瀚亞電通網證券投資信託基金,NTD,瀚亞證券投資信託,Current,2000/03/10,2019/07/18,"國內募集,投資國內",開放,開放式科技類,科技股,被併入 T0704Y  瀚亞高科技
T0716Y 瀚亞歐洲,TW000T0716Y8,17611814,瀚亞歐洲證券投資信託基金,NTD,瀚亞證券投資信託,Current,2000/06/13,,"國內募集,投資國內外",開放,跨國投資--歐洲,股票,
T0717Y 瀚亞理財通,TW000T0717Y6,18036769,瀚亞理財通證券投資信託基金,NTD,瀚亞證券投資信託,Current,2000/11/16,,"國內募集,投資國內",開放,平衡--一般股票型,股票+債券,
