Current,,,,,,,,,,,,,
,,,,,,,,,,,,,
基金碼,基金ISIN Code,基金統編,基金全稱,幣別,經理公司,目前狀態,成立日,清算/合併日,型態,類型,公會分類,投資標的,清算/合併說明
006203 元大MSCI台灣,TW0000062033,26306553,元大摩臺證券投資信託基金,NTD,元大證券投資信託,Current,2011/04/21,,"國內募集,投資國內",開放,國內指數-一般ETF,ETF,
006204 永豐臺灣加權,TW0000062041,26332314,永豐臺灣加權 ETF證券投資信託基金,NTD,永豐證券投資信託,Current,2011/09/06,,"國內募集,投資國內",開放,國內指數-一般ETF,ETF,
006205 富邦上証,TW0000062058,26334740,富邦上証 180證券投資信託基金,NTD,富邦證券投資信託,Current,2011/08/30,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
006206 元大上證50,TW0000062066,31830488,元大中國傘型證券投資信託基金之上證50證券投資信託基金,NTD,元大證券投資信託,Current,2012/04/25,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
006207 FH滬深,TW0000062074,31835478,復華滬深300 A股證券投資信託基金,NTD,復華證券投資信託,Current,2012/06/05,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
006208 富邦台50,TW0000062082,31840182,富邦台灣釆吉50 證券投資信託基金,NTD,富邦證券投資信託,Current,2012/06/22,,"國內募集,投資國內",開放,國內指數-一般ETF,ETF,
00625K 富邦上証+R,TW00000625K4,,富邦上証 180證券投資信託基金-加掛人民幣 ETF受益憑證,RMB,富邦證券投資信託,Current,2016/08/08,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
00631L 元大台灣50正2,TW00000631L0,38619904,元大 ETF傘型證券投資信託基金之台灣50單日正向 2倍證券投資信託基金,NTD,元大證券投資信託,Current,2014/10/23,,"國內募集,投資國內",開放,國內指數-二倍ETF,ETF,
00632R 元大台灣50反1,TW00000632R5,38619910,元大 ETF傘型證券投資信託基金之台灣50單日反向 1倍證券投資信託基金,NTD,元大證券投資信託,Current,2014/10/23,,"國內募集,投資國內",開放,國內指數-反向ETF,ETF,
00633L 富邦上証正2,TW00000633L6,38633011,富邦中國 ETF傘型證券投資信託基金之富邦上証 180單日正向兩倍證券投資信託基金,NTD,富邦證券投資信託,Current,2014/11/11,,"國內募集,投資國內外",開放,跨國-中國二倍ETF,ETF,
00634R 富邦上証反1,TW00000634R1,38633027,富邦中國 ETF傘型證券投資信託基金之富邦上証 180單日反向一倍證券投資信託基金,NTD,富邦證券投資信託,Current,2014/11/11,,"國內募集,投資國內外",開放,跨國-中國反向ETF,ETF,
00635U 元大S&P 黃金,TW00000635U2,38651191,元大標普高盛黃金ER指數股票型期貨信託基金,NTD,元大證券投資信託,Current,2015/04/01,,"國內募集,投資國內外",開放,,ETF,
00636 國泰中國A50,TW0000063601,42260528,國泰富時中國 A50證券投資信託基金,NTD,國泰證券投資信託,Current,2015/03/20,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
00636K 國泰中國 A50+U,TW00000636K1,,國泰富時中國 A50證券投資信託基金-加掛美元 ETF受益憑證,USD,國泰證券投資信託,Current,2017/10/24,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
00637L 元大滬深300 正2,TW00000637L7,42300253,元大滬深 300傘型證券投資信託基金之滬深 300單日正向 2倍證券投資信託基金,NTD,元大證券投資信託,Current,2015/05/06,,"國內募集,投資國內外",開放,跨國-中國二倍ETF,ETF,
00638R 元大滬深300 反1,TW00000638R2,42300232,元大滬深 300傘型證券投資信託基金之滬深 300單日反向 1倍證券投資信託基金,NTD,元大證券投資信託,Current,2015/05/06,,"國內募集,投資國內外",開放,跨國-中國反向ETF,ETF,
00639 富邦深100,TW0000063908,42302273,富邦深証100 證券投資信託基金,NTD,富邦證券投資信託,Current,2015/05/20,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
00639K FB深100+R,,,富邦深証100 證券投資信託基金-加掛人民幣 ETF受益憑證,RMB,富邦證券投資信託,Current,,,"國內募集,投資國內外",開放,跨國-中國一般ETF,ETF,
00640L 富邦日本正2,TW00000640L1,42319561,富邦日本 ETF傘型證券投資信託基金之富邦日本東証單日正向兩倍證券投資信託基金,NTD,富邦證券投資信託,Current,2015/08/27,,"國內募集,投資國內外",開放,日本二倍ETF,ETF,
00641R 富邦日本反1,TW00000641R6,42319582,富邦日本 ETF傘型證券投資信託基金之富邦日本東証單日反向一倍證券投資信託基金,NTD,富邦證券投資信託,Current,2015/08/27,,"國內募集,投資國內外",開放,日本反向ETF,ETF,
