Date,Nav,Mid Bid/Ask,P/D to NAV,P/D Indicator
07/20/2018,34.0532,34.075,0.06%,Premium
07/19/2018,34.1987,34.2,0.00%,Premium
07/18/2018,34.2005,34.205,0.01%,Premium
07/17/2018,34.1112,34.13,0.06%,Premium
07/16/2018,33.9682,33.945,-0.07%,Discount
07/13/2018,34.1108,34.09,-0.06%,Discount
07/12/2018,34.1119,34.145,0.10%,Premium
07/11/2018,33.934,33.955,0.06%,Premium
07/10/2018,34.1336,34.13,-0.01%,Discount
07/09/2018,34.1163,34.13,0.04%,Premium
07/06/2018,33.7798,33.75,-0.09%,Discount
07/05/2018,33.4848,33.49,0.02%,Premium
07/03/2018,33.1545,33.115,-0.12%,Discount
07/02/2018,33.2163,33.195,-0.06%,Discount
06/29/2018,33.1291,33.135,0.02%,Premium
06/28/2018,33.0598,33.005,-0.17%,Discount
06/27/2018,32.9293,32.99,0.18%,Premium
06/26/2018,33.3803,33.39,0.03%,Premium
06/25/2018,33.3049,33.325,0.06%,Premium
06/22/2018,33.8128,33.81,-0.01%,Discount
06/21/2018,33.8273,33.79,-0.11%,Discount
06/20/2018,34.0892,34.065,-0.07%,Discount
06/19/2018,33.9797,33.99,0.03%,Premium
06/18/2018,34.0875,34.045,-0.13%,Discount
06/15/2018,34.1186,34.095,-0.07%,Discount
06/14/2018,34.1319,34.1,-0.09%,Discount
06/13/2018,34.0472,34.06,0.04%,Premium
06/12/2018,34.3038,34.31,0.02%,Premium
06/11/2018,34.2224,34.215,-0.02%,Discount
06/08/2018,34.1131,34.15,0.11%,Premium
06/07/2018,33.9868,33.97,-0.05%,Discount
06/06/2018,34.0383,33.99,-0.14%,Discount
06/05/2018,33.8921,33.89,-0.01%,Discount
06/04/2018,33.7531,33.77,0.05%,Premium
06/01/2018,33.502,33.5,-0.01%,Discount
05/31/2018,33.2195,33.22,0.00%,Premium
05/30/2018,33.5348,33.58,0.14%,Premium
05/29/2018,33.1327,33.105,-0.08%,Discount
05/25/2018,33.2697,33.245,-0.07%,Discount
05/24/2018,33.2893,33.25,-0.12%,Discount
05/23/2018,33.2507,33.245,-0.02%,Discount
05/22/2018,33.2131,33.235,0.07%,Premium
05/21/2018,33.3121,33.32,0.02%,Premium
05/18/2018,33.0122,32.96,-0.16%,Discount
05/17/2018,33.1985,33.2,0.00%,Premium
05/16/2018,33.164,33.135,-0.09%,Discount
05/15/2018,32.8671,32.845,-0.07%,Discount
05/14/2018,32.9536,32.985,0.10%,Premium
05/11/2018,32.9485,32.95,0.00%,Premium
05/10/2018,32.8983,32.895,-0.01%,Discount
05/09/2018,32.6279,32.58,-0.15%,Discount
05/08/2018,32.3861,32.37,-0.05%,Discount
05/07/2018,32.2828,32.23,-0.16%,Discount
05/04/2018,32.2313,32.215,-0.05%,Discount
05/03/2018,31.8631,31.825,-0.12%,Discount
05/02/2018,31.9841,31.925,-0.19%,Discount
05/01/2018,32.2006,32.185,-0.05%,Discount
04/30/2018,32.1229,32.09,-0.10%,Discount
04/27/2018,32.42,32.335,-0.26%,Discount
04/26/2018,32.5169,32.465,-0.16%,Discount
04/25/2018,32.3767,32.27,-0.33%,Discount
04/24/2018,32.2995,32.215,-0.26%,Discount
04/23/2018,32.5734,32.555,-0.06%,Discount
04/20/2018,32.6215,32.515,-0.33%,Discount
04/19/2018,32.8081,32.74,-0.21%,Discount
04/18/2018,33.1021,33.115,0.04%,Premium
04/17/2018,33.0192,32.995,-0.07%,Discount
04/16/2018,32.7334,32.71,-0.07%,Discount
04/13/2018,32.4712,32.46,-0.03%,Discount
04/12/2018,32.6394,32.64,0.00%,Premium
04/11/2018,32.432,32.415,-0.05%,Discount
04/10/2018,32.5326,32.515,-0.05%,Discount
04/09/2018,32.0923,32.105,0.04%,Premium
04/06/2018,32.155,32.205,0.16%,Premium
04/05/2018,32.8014,32.82,0.06%,Premium
04/04/2018,32.6659,32.425,-0.74%,Discount
04/03/2018,32.2896,32.29,0.00%,Premium
04/02/2018,32.0635,32.085,0.07%,Premium
03/29/2018,32.4302,32.43,0.00%,Discount
03/28/2018,32.2275,32.225,-0.01%,Discount
