,Adj Close
0,22.610336
1,22.489843
2,22.482986
3,22.239048
4,22.198885
5,21.973562
6,21.973562
7,21.973562
8,21.611095000000002
9,21.679668
10,21.591499
11,21.591499
12,21.718857
13,21.758041
14,21.797228
15,21.797228
16,21.816822
17,21.816822
18,21.674774
19,21.7022
20,21.7022
21,21.7022
22,21.660078
23,21.660078
24,21.660078
25,21.669878
26,21.660078
27,21.699263000000002
28,21.45435
29,21.679668
30,21.797228
31,21.968664
32,21.887356
33,21.887356
34,21.887356
35,22.169495
36,22.169495
37,22.169495
38,22.424201999999998
39,22.659319
40,22.580946
41,22.541763
42,22.684792
43,22.610336
44,22.610336
45,22.531965
46,22.590746
47,22.46339
48,22.649523000000002
49,22.531965
50,22.433998000000003
51,22.355629
52,22.453594
53,22.512373
54,22.512373
55,22.541763
56,22.360530999999998
57,22.277256
58,22.292931
59,22.316446
60,22.532946
61,22.532946
62,22.590746
63,22.560377
64,22.560377
65,22.295873999999998
66,22.110714
67,22.042141
68,22.130306
69,22.126392000000003
70,22.126392000000003
71,22.365425
72,22.365425
73,22.361504
74,22.393832999999997
75,22.394814999999998
76,22.287052
77,22.3762
78,22.214558
79,22.473188
80,22.473188
81,22.433998000000003
82,22.306644
83,22.360530999999998
84,22.316446
85,22.26746
86,22.355629
87,22.216518
88,22.216518
89,22.282156
90,22.117573
91,22.009809
92,22.042141
93,21.983362
94,21.750204
95,21.750204
96,21.750204
97,21.914787
98,21.953972
99,22.081326999999998
100,22.081326999999998
101,22.081326999999998
102,22.081326999999998
103,22.056832999999997
104,22.056832999999997
105,22.056832999999997
106,22.092098
107,22.188102999999998
108,22.283134
109,22.287052
110,22.345831
111,22.345831
112,22.140104
113,22.140104
114,22.10582
115,22.10582
116,22.081326999999998
117,22.218477
118,22.218477
119,22.238070999999998
120,22.238070999999998
121,21.875598999999998
122,21.898155
123,21.702023
124,21.858926999999998
125,21.92071
126,22.094292000000003
127,21.790283
128,21.913849
129,21.976608
130,22.113903
131,22.33161
132,22.486553
133,22.486553
134,22.50518
135,22.50518
136,22.466935999999997
137,22.466935999999997
138,22.466935999999997
139,22.466935999999997
140,22.466935999999997
141,22.565006
142,22.565006
143,22.623842
144,22.494396
145,22.494396
146,22.494396
147,22.427711
148,22.427711
149,22.427711
150,22.4081
151,22.502237
152,22.561081
153,22.561081
154,22.555197
155,22.516953
156,22.565006
157,22.565006
158,22.457129000000002
159,22.643456
160,22.643456
161,22.604229
162,22.623842
163,22.677782
164,22.677782
165,22.677782
166,22.761135
167,22.794476
168,22.861162
169,22.604229
170,22.751331
171,22.810171
172,22.937656
173,22.927847
174,22.869007
175,22.654239999999998
176,22.594427
177,22.359064
178,22.359064
179,22.594427
180,22.751331
181,22.634628
182,22.69249
183,23.006298
184,22.937656
185,22.83836
186,22.8069
187,22.8069
188,22.917009
189,22.911112
190,22.975998
191,22.917994
192,22.995661
193,23.005495
194,22.889484
195,22.928805999999998
196,22.985828
197,22.917009
198,22.763639
199,22.74398
200,22.774454000000002
201,22.720385
202,22.720385
203,22.553247
204,22.553247
205,22.523754
206,22.415607
207,22.199316
208,22.002686999999998
209,22.130501000000002
210,21.914207
211,22.000723
212,21.914207
213,21.747076
214,21.884714000000002
215,22.091171
216,21.953533
217,22.036114
218,22.415607
219,23.004510999999997
220,23.251278
221,23.369255
222,23.349596
223,23.457739
224,23.516729
225,23.453806
226,23.76251
227,23.860823
228,23.939476000000003
229,23.693693
230,23.792006
231,23.595373000000002
232,23.39875
233,23.379087
234,23.605207
235,23.796923
236,23.988634
237,24.165598000000003
238,24.097763
